id,y
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,1
424,0
425,0
426,0
427,1
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,0
515,0
516,0
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,0
556,1
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,0
592,1
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,0
632,0
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,0
709,1
710,0
711,1
712,0
713,0
714,1
715,1
716,1
717,1
718,0
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,1
756,0
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,1
780,1
781,1
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,1
792,1
793,0
794,0
795,1
796,1
797,0
798,1
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,1
811,0
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,0
822,1
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,0
833,1
834,0
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,0
843,1
844,1
